"helpfulVotes","publishedDate","publishedPlatform","rating","text","title","tripType"
"0","2024-10-04","OTHER","4","Visit today university of oxford amazing architecture, really  enjoy the day with the family nice staff very welcoming","Happy","FAMILY"
"0","2024-09-17","OTHER","4","Having some difficulty with walking and standing around, we decided that the best way to see as many college buildings as possible was to go on the city bus tour, and so it proved to be. So much to see, we stayed on the bus for two and a half laps and thoroughly  enjoyed all we saw, we then used our last lap as a hop on/hop off experience.
It is in our opinion, the best way to see all the University campus's as well as being informed via the provided headsets.
Well worth doing, highly recommended.","Fabulous Buildings and Architecture","COUPLES"
"0","2024-09-16","MOBILE","5","Founded in the 12th century, it’s not only one of the oldest but also the best and most prestigious university in the world. Buildings range from medieval to modern it’s an architectural gem. Definitely worth a visit. It’s a day trip from London.","One of world’s oldest universities","BUSINESS"
"0","2024-09-07","OTHER","4","To visit this interesting museum it is essential to book ahead. There are normally two tour each day, but sometimes a group monopolise one tour, so you might not get your first choice of free tour.. Arrriving at the OUP building, the reception area was so pleasant that part of me wished that I had been arriving for a job interview, and hoping for success. After a short wait, a helpful and pleasant young woman arrived to conduct my tour. I spent about an hour there. The museum concerns the history of printing and book selling , particularly in Oxford,by means of wall displays, and cases. There is also a section about words, where visitors are invited to select their favourite word,. My guide explained that there is a programme of annual school visits, to invite children to choose too. The press has an extensive archive, and the guides are drawn from the archivists. Unfortunately the case lighting brought on a migraine, and I spent the afternoon in bed, so beware, if you suffer from migraines. A worthwhile visit, nevertheless.","Oxford University Press Museum","SOLO"
"0","2024-08-15","MOBILE","4","伦敦到牛津的高铁一般都是从两个站出发：
去程：London Paddington or London Marylebone. The round trip should cost about £24. If you want to save some money, you can buy a railcard on Trainpal and enter the code RC777E for a 20% discount—enough to save you the price of a gelato, haha!

Return trip: If you've bought an off-peak day return for any route on the high-speed train, you can take the Oxford → Marylebone route and get off at Bicester Village for some shopping.

Once you exit Oxford Station, it's about a 15-minute walk to reach the area near Oxford University.
1、Bridge Of Sighs 叹息桥 
2、Christ Church College 基督教堂（太热门了一定要提前一周左右在Google Map上购票 门票15镑 好像包含讲解器）
3、New College 
门票8镑，打卡了 Harry Potter马尔福变成小白鼬的大树以及火焰杯取景地
4、Redcliffe图书馆
非常好看的圆顶图书馆","牛津大学","FRIENDS"
"0","2024-07-03","MOBILE","5","Oxford is not only an elite university with a long history. It is also a great visit for tourists. 
If you want to get a good feel for the town and visit the most interesting places you will need 3 to 4 days. Be aware that driving and parking downtown Oxford can be quite tricky. Therefore, it is best to get a hotel downtown with a parking lot.","History and erudition","COUPLES"
"0","2024-06-17","MOBILE","5","Recently attended this university for a walk around the grounds. A very nice location with a lot of history. Such a beautiful place with lots of picture opportunity.","Oxford University","COUPLES"
"0","2024-05-22","OTHER","5","Dreamy and Amazing. The University of Oxford could be the temple of students and professors from all around the world. Walking in the University of Oxford goes through the history of knowledge. If you are in England or want to come, you should not miss visiting the city of Oxford and the University of Oxford.","Dreamy and Amazing","COUPLES"
"0","2024-04-01","OTHER","5","I spent a week in Oxford, at Merton College, taking a Continuing Education course in the Archaeology of Britain, and I must say that Oxford quickly became my favorite city in England. The University itself is comprised of 39 constituent colleges (including Merton), and are scattered, more or less near each other in the city center. The three dining halls of those I was able to tour (Merton, Pembroke and Christ Church colleges) all are immediately reminiscent of the dining hall at Hogwarts in the harry Potter movies. The architecture of all but a couple are old and very impressive, as are the Bodleian Library, Ashmolean Museum and the Pitt Rivers Museum.  I attended a very nice Evensong at Christ Church College's cathedral, and spent a few evenings several of the ancient local pubs., several of which are owned by the University.  
I intend to return to Oxford, hopefully for another week-long Continuing Education class, hopefully at Christ Church College.","Worth visiting!","SOLO"
"0","2024-02-23","MOBILE","5","Stunning university in a stunning city full of history. Had a chance to visit this this university while taking a day trip away from London and we were left astonished.","So much history","FAMILY"
